Country Code,Region,IncomeGroup,SpecialNotes
CAN,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
CEB,,,Central Europe and the Baltics aggregate.
CHE,Europe & Central Asia,High income,
CHI,Europe & Central Asia,High income,
CHL,Latin America & Caribbean,High income,
CHN,East Asia & Pacific,Upper middle income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. National accounts have been revised from 2010-2015 based on the National Bureau of Statistics data and World Bank estimates. The new base year is 2010."
CIV,Sub-Saharan Africa,Lower middle income,
CMR,Sub-Saharan Africa,Lower middle income,
COD,Sub-Saharan Africa,Low income,WB-3 code changed from ZAR to COD to align with ISO code.
COG,Sub-Saharan Africa,Lower middle income,
COL,Latin America & Caribbean,Upper middle income,
COM,Sub-Saharan Africa,Low income,
CPV,Sub-Saharan Africa,Lower middle income,Cabo Verde is the name for the country previously listed as Cape Verde. Value added is measured in basic prices.
CRI,Latin America & Caribbean,Upper middle income,National accounts are revised from 1991 to 2015 using SNA 2008 based on official government data. The new reference year is 2012.
CSS,,,Caribbean small states aggregate.
CUB,Latin America & Caribbean,Upper middle income,"Based on official government statistics, the new reference year is 2005."
CUW,Latin America & Caribbean,High income,
CYM,Latin America & Caribbean,High income,
CYP,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
CZE,Europe & Central Asia,High income,
DEU,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
DJI,Middle East & North Africa,Lower middle income,
DMA,Latin America & Caribbean,Upper middle income,
DNK,Europe & Central Asia,High income,
DOM,Latin America & Caribbean,Upper middle income,
DZA,Middle East & North Africa,Upper middle income,The new base year is 1999.
EAP,,,East Asia and Pacific regional aggregate (does not include high-income economies).
EAR,,,Early-dividend countries are mostly lower-middle-income countries further along the fertility transition. Fertility rates have fallen below four births per woman and the working-age share of the population is likely rising considerably.
EAS,,,East Asia and Pacific regional aggregate (includes all income levels).
ECA,,,Europe and Central Asia regional aggregate (does not include high-income economies).
ECS,,,Europe and Central Asia regional aggregate (includes all income levels).
ECU,Latin America & Caribbean,Upper middle income,
EGY,Middle East & North Africa,Lower middle income,Fiscal year end: June 30; reporting period for national accounts data: FY.
EMU,,,Euro area aggregate.
ERI,Sub-Saharan Africa,Low income,
ESP,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
EST,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
ETH,Sub-Saharan Africa,Low income,Fiscal year end: July 7; reporting period for national accounts data: FY.
EUU,,,European Union aggregate.
FCS,,,"Fragile and conflict affected situations aggregate. Countries with fragile situations are primarily International Development Association-eligible countries and nonmember or inactive countries and territories with a 3.2 or lower harmonized average of the World Bank's Country Policy and Institutional Assessment rating and the corresponding rating by a regional development bank, or that have had a UN or regional peacebuilding and political mission (for example by the African Union, European Union, or Organization of American States) or peacekeeping mission (for example, by the African Union, European Union, North Atlantic Treaty Organization, or Organization of American States) during the last three years. The group excludes IBRD countries (for which the CPIA scores are not publically disclosed); unless there is the presence of a peace-keeping or political/peacebuilding mission. This definition is pursuant to an agreement between the World Bank and other multilateral development banks at the start of the International Development Association 15 round in 2007. The list of countries and territories with fragile situations is imperfect and used here to reflect a complex concept. The World Bank continues to work with partners and client countries to refine the concept."
FIN,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
FJI,East Asia & Pacific,Upper middle income,National accounts have been revised from 2011 to 2015 based on the Fiji Bureau of Statistics and World Bank estimates. The new base year is 2011.
FRA,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
FRO,Europe & Central Asia,High income,
FSM,East Asia & Pacific,Lower middle income,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward."
GAB,Sub-Saharan Africa,Upper middle income,
GBR,Europe & Central Asia,High income,
GEO,Europe & Central Asia,Lower middle income,Value added data in constant prices before 2007 have been temporarily removed until revised series become available. Constant price expenditure estimates before 2011 have been deleted.
GHA,Sub-Saharan Africa,Lower middle income,
GIB,Europe & Central Asia,High income,
GIN,Sub-Saharan Africa,Low income,
GMB,Sub-Saharan Africa,Low income,Fiscal year end: June 30; reporting period for national accounts data: CY.
GNB,Sub-Saharan Africa,Low income,
GNQ,Sub-Saharan Africa,Upper middle income,
GRC,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
GRD,Latin America & Caribbean,Upper middle income,
GRL,Europe & Central Asia,High income,
GTM,Latin America & Caribbean,Lower middle income,
GUM,East Asia & Pacific,High income,
GUY,Latin America & Caribbean,Upper middle income,
HIC,,,"High income group aggregate. High-income economies are those in which 2015 GNI per capita was $12,476 or more."
HKG,East Asia & Pacific,High income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying."
HND,Latin America & Caribbean,Lower middle income,
HPC,,,Heavily indebted poor countries aggregate.
HRV,Europe & Central Asia,Upper middle income,
HTI,Latin America & Caribbean,Low income,Fiscal year end: September 30; reporting period for national accounts data: FY.
HUN,Europe & Central Asia,High income,
IBD,,,IBRD only group aggregate.
IBT,,,"IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only)."
IDA,,,IDA total group aggregate (includes IDA only and IDA blend).
IDB,,,IDA blend group aggregate.
IDN,East Asia & Pacific,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. Statistics Indonesia revised national accounts based on SNA2008. The new base year is 2010. Price valuation is in basic prices.
IDX,,,IDA only group aggregate.
IMN,Europe & Central Asia,High income,WB-3 code changed from IMY to IMN to align with ISO code.
IND,South Asia,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2011/12. India reports using SNA 2008.
IRL,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
IRN,Middle East & North Africa,Upper middle income,"Fiscal year end: March 20; reporting period for national accounts data: FY. Based on data from the Central Bank of Iran, the new base year is 2004/05."
IRQ,Middle East & North Africa,Upper middle income,"Based on official government statistics, the new base year is 2007."
ISL,Europe & Central Asia,High income,
ISR,Middle East & North Africa,High income,
ITA,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
JAM,Latin America & Caribbean,Upper middle income,
JOR,Middle East & North Africa,Lower middle income,
JPN,East Asia & Pacific,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
KAZ,Europe & Central Asia,Upper middle income,
KEN,Sub-Saharan Africa,Lower middle income,Fiscal year end: June 30; reporting period for national accounts data: CY.
KGZ,Europe & Central Asia,Lower middle income,
KHM,East Asia & Pacific,Lower middle income,
KIR,East Asia & Pacific,Lower middle income,"Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank."
KNA,Latin America & Caribbean,High income,
KOR,East Asia & Pacific,High income,The new base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.
KWT,Middle East & North Africa,High income,Fiscal year end: June 30; reporting period for national accounts data: CY.
LAC,,,Latin America and Caribbean regional aggregate (does not include high-income economies).
LAO,East Asia & Pacific,Lower middle income,
LBN,Middle East & North Africa,Upper middle income,The new reference year is 2010.
LBR,Sub-Saharan Africa,Low income,National accounts local currency data have been revised to be reported in U.S. dollars instead of Liberian dollars.
LBY,Middle East & North Africa,Upper middle income,Official statistics for Libya are not available; national accounts data are based on World Bank estimates.
LCA,Latin America & Caribbean,Upper middle income,
LCN,,,Latin America and Caribbean regional aggregate (includes all income levels).
LDC,,,Least developed countries (UN classification) aggregate.
LIC,,,"Low income group aggregate. Low-income economies are those in which 2015 GNI per capita was $1,025 or less."
LIE,Europe & Central Asia,High income,National accounts from 2013 to 2014 are revised according to the SNA 2008.
LKA,South Asia,Lower middle income,Bureau of Census and Statistics revised national accounts from 2010-2015. Value added is in basic prices; prior to 2010 in producer prices.
LMC,,,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2015 GNI per capita was between $1,026 and $4,035."
LMY,,,"Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2015 GNI per capita was $12,475 or less."
LSO,Sub-Saharan Africa,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2012.
LTE,,,"Late-dividend countries are mostly upper-middle-income countries where fertility rates are typically above replacement levels of 2.1 births per woman, but fertility continues to decline."
LTU,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010."
LUX,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
LVA,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010."
MAC,East Asia & Pacific,High income,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China."
MAF,Latin America & Caribbean,High income,
MAR,Middle East & North Africa,Lower middle income,
MCO,Europe & Central Asia,High income,
MDA,Europe & Central Asia,Lower middle income,Due to data reliability issues estimates prior to 1995 have been deleted. The new base year is 2000.
MDG,Sub-Saharan Africa,Low income,
MDV,South Asia,Upper middle income,
MEA,,,Middle East and North Africa regional aggregate (includes all income levels).
MEX,Latin America & Caribbean,Upper middle income,
MHL,East Asia & Pacific,Upper middle income,Fiscal year ends on September 30; reporting period for national accounts data: FY.
MIC,,,"Middle income group aggregate. Middle-income economies are those in which 2015 GNI per capita was between $1,026 and $12,475."
MKD,Europe & Central Asia,Upper middle income,
MLI,Sub-Saharan Africa,Low income,The new base year is 1999.
MLT,Middle East & North Africa,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN. The new reference year is 2010."
MMR,East Asia & Pacific,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: FY. Based on the government’s Planning Department and the IMF national accounts have been revised from 2010 to 2015. The new base year is 2010/11.
MNA,,,Middle East and North Africa regional aggregate (does not include high-income economies).
MNE,Europe & Central Asia,Upper middle income,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005."
MNG,East Asia & Pacific,Lower middle income,
MNP,East Asia & Pacific,High income,
MOZ,Sub-Saharan Africa,Low income,
MRT,Sub-Saharan Africa,Lower middle income,Based on official statistics from the Ministry of Economic Affairs and Development; the base year has been returned to 2004.
MUS,Sub-Saharan Africa,Upper middle income,Authorities made significant revisions to the national accounts from 2006 to 2015.
MWI,Sub-Saharan Africa,Low income,Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2010.
MYS,East Asia & Pacific,Upper middle income,
NAC,,,North America regional aggregate. There are no economies in North America classified as low or middle income.
NAM,Sub-Saharan Africa,Upper middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.
NCL,East Asia & Pacific,High income,
NER,Sub-Saharan Africa,Low income,
NGA,Sub-Saharan Africa,Lower middle income,
NIC,Latin America & Caribbean,Lower middle income,
NLD,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
NOR,Europe & Central Asia,High income,
NPL,South Asia,Low income,Fiscal year end: July 14; reporting period for national accounts data: FY.
NRU,East Asia & Pacific,Upper middle income,
NZL,East Asia & Pacific,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
OED,,,OECD members aggregate.
OMN,Middle East & North Africa,High income,National Center for Statistics and Information revised national accounts from 2011 to 2015 based on the SNA 2008. Value added is in basic prices; and before 2011 in producer prices.
OSS,,,Other small states aggregate.
PAK,South Asia,Lower middle income,Fiscal year end: June 30; reporting period for national accounts data: FY.
PAN,Latin America & Caribbean,Upper middle income,Based on government statistics national accounts have been revised from 2014.
PER,Latin America & Caribbean,Upper middle income,
PHL,East Asia & Pacific,Lower middle income,
PLW,East Asia & Pacific,High income,Fiscal year ends on September 30; reporting period for national accounts data: FY. National accounts data are revised based on IMF reports.
PNG,East Asia & Pacific,Lower middle income,
POL,Europe & Central Asia,High income,
PRE,,,"Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth."
PRI,Latin America & Caribbean,High income,Fiscal year end: June 30; reporting period for national accounts data: FY.
PRK,East Asia & Pacific,Low income,
PRT,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
PRY,Latin America & Caribbean,Upper middle income,
PSE,Middle East & North Africa,Lower middle income,WB-3 code changed from WBG to PSE to align with ISO code. National accounts local currency data are reported in U.S. dollars.
PSS,,,Pacific island small states aggregate.
PST,,,Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.
PYF,East Asia & Pacific,High income,
QAT,Middle East & North Africa,High income,
ROU,Europe & Central Asia,Upper middle income,WB-3 code changed from ROM to ROU to align with ISO code.
RUS,Europe & Central Asia,Upper middle income,The new base year is 2011.
RWA,Sub-Saharan Africa,Low income,
SAS,,,South Asia regional aggregate. There are no economies in South Asia classified as high income.
SAU,Middle East & North Africa,High income,Based on data from the Saudi Central Department of Statistics and Information under the authority of the Ministry of Economy and Planning.
SDN,Sub-Saharan Africa,Lower middle income,"Demographic data (total population, life expectancy, fertility, child mortality, migration), education series, and HIV prevalence are reported separately for Sudan and South Sudan; see specific notes for other series. National accounts data exclude South Sudan after July 9, 2011. Other data reported for Sudan generally include South Sudan to 2011 unless otherwise noted. External debt data and land-related data (including population density, but excluding surface area after 2010) for all years include South Sudan."
SEN,Sub-Saharan Africa,Low income,
SGP,East Asia & Pacific,High income,Fiscal year end: March 31; reporting period for national accounts data: CY. Country reports using a blend of SNA 1993 and SNA 2008.
SLB,East Asia & Pacific,Lower middle income,
SLE,Sub-Saharan Africa,Low income,Fiscal year end: June 30; reporting period for national accounts data: CY.
SLV,Latin America & Caribbean,Lower middle income,
SMR,Europe & Central Asia,High income,
SOM,Sub-Saharan Africa,Low income,
SRB,Europe & Central Asia,Upper middle income,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised. The new reference year for chain linked series is 2010."
SSA,,,Sub-Saharan Africa regional aggregate (does not include high-income economies).
SSD,Sub-Saharan Africa,Low income,"South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available."
SSF,,,Sub-Saharan Africa regional aggregate (includes all income levels).
SST,,,"Small states aggregate. Includes 41 members of the Small States Forum. (Does not include the high-income countries Bahrain, Brunei Darussalam, Cyprus, Estonia, Iceland, Malta, Qatar, and San Marino.)"
STP,Sub-Saharan Africa,Lower middle income,The new base year is 2008.
SUR,Latin America & Caribbean,Upper middle income,
SVK,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
SVN,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
SWE,Europe & Central Asia,High income,Fiscal year end: June 30; reporting period for national accounts data: CY.
SWZ,Sub-Saharan Africa,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.
SXM,Latin America & Caribbean,High income,
SYC,Sub-Saharan Africa,High income,
SYR,Middle East & North Africa,Lower middle income,
TCA,Latin America & Caribbean,High income,
TCD,Sub-Saharan Africa,Low income,
TEA,,,East Asia & Pacific (IDA & IBRD countries) aggregate.
TEC,,,Europe & Central Asia (IDA & IBRD countries) aggregate.
TGO,Sub-Saharan Africa,Low income,
THA,East Asia & Pacific,Upper middle income,Fiscal year end: September 30; reporting period for national accounts data: CY.
TJK,Europe & Central Asia,Lower middle income,
TKM,Europe & Central Asia,Upper middle income,
TLA,,,Latin America & the Caribbean (IDA & IBRD countries) aggregate.
TLS,East Asia & Pacific,Lower middle income,WB-3 code changed from TMP to TLS to align with ISO code.
TMN,,,Middle East & North Africa (IDA & IBRD countries) aggregate.
TON,East Asia & Pacific,Upper middle income,
TSA,,,South Asia (IDA & IBRD countries) aggregate.
TSS,,,Sub-Saharan Africa (IDA & IBRD countries) aggregate.
TTO,Latin America & Caribbean,High income,
TUN,Middle East & North Africa,Lower middle income,
TUR,Europe & Central Asia,Upper middle income,
TUV,East Asia & Pacific,Upper middle income,Value added is measured at producer prices up to 1999 and at basic prices from 2000 onward.
TZA,Sub-Saharan Africa,Low income,Tanzania reports using a blend of SNA 1993 and SNA 2008.
UGA,Sub-Saharan Africa,Low income,Fiscal year end: June 30; reporting period for national accounts data: FY.
UKR,Europe & Central Asia,Lower middle income,The new base year is 2010.
UMC,,,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2015 GNI per capita was between $4,036 and $12,475."
URY,Latin America & Caribbean,High income,
USA,North America,High income,Fiscal year end: September 30; reporting period for national accounts data: CY.
UZB,Europe & Central Asia,Lower middle income,
VCT,Latin America & Caribbean,Upper middle income,
VEN,Latin America & Caribbean,Upper middle income,
VGB,Latin America & Caribbean,High income,
VIR,Latin America & Caribbean,High income,
VNM,East Asia & Pacific,Lower middle income,
VUT,East Asia & Pacific,Lower middle income,"Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward."
WLD,,,World aggregate.
WSM,East Asia & Pacific,Upper middle income,"Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa. The base year is 2008/09. Other methodological changes include increased reliance on summary data from the country’s Value Added Goods and Services Tax system, incorporation of more recent benchmarks, and use of improved data sources."
XKX,Europe & Central Asia,Lower middle income,WB-3 code changed from KSV to XKX to align with ISO provisional code.
YEM,Middle East & North Africa,Lower middle income,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The base year has reverted to 1990."
ZAF,Sub-Saharan Africa,Upper middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.
ZMB,Sub-Saharan Africa,Lower middle income,"The base year is 2010. National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha. Zambia reports using SNA 2008."
ZWE,Sub-Saharan Africa,Low income,"Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency."
